코드,명칭,주소,전화번호,영업시간,재고량,가격,위도,경도,데이터기준일
A0001982,군포터미널,경기 군포시 번영로 82,031-460-2991,평일 24시간,0,-,37.329598,126.9348359,2021.11.21 18:00
A0008176,의왕아이시디,경기 의왕시 창말로 39,031-461-8005,평일 08:00~20:00,0,-,37.336115,126.9539926,2021.11.21 18:00
A0014382,중부화물터미널(세종),세종시 부강면 연청로 745-46,044-260-5189,평일 24시간 ,150,-,36.5419582,127.3550544,2021.11.21 18:00
A0000658,영남복합물류(칠곡),경북 칠곡군 지천면 금호로 272,054-380-1111,평일 24시간,1500,-,35.9614608,128.4510123,2021.11.21 18:00
A0031380,내트럭 부산(감만),부산 남구 신선로 168,051-638-3971,평일 24시간,497,-,35.1103763,129.0818122,2021.11.21 18:00
A0031393,내트럭 부산용당,부산 남구 신선로 261,051-931-8001,평일 24시간,0,-,35.1120707,129.0945639,2021.11.21 18:00
A0028784,내트럭 부산신항,경남 창원시 진해구 신항북로 320,055-543-9461,평일 24시간,550,-,35.0871939,128.7992677,2021.11.21 18:00
A0033060,내트럭 부산신항남컨,부산 강서구 신항남로 507,051-941-9800,평일 24시간,2374,-,35.0667086,128.8325158,2021.11.21 18:00
A0001505,내트럭 인천,인천 중구 축항대로 296번길 183,032-891-7800,평일 04:00~24:00,0,-,37.4316956,126.6238205,2021.11.21 18:00
A0022180,내트럭 광양,전남 광양시 중마로 15,061-795-0111,평일 07:00~22:00,0,-,34.9267975,127.6859682,2021.11.21 18:00
A0033028,내트럭 광양 황금,전남 광양시 항만대로 200,061-795-9806,평일 07:00~23:00,0,-,34.8961396,127.6379158,2021.11.21 18:00
A0033058,내트럭 평택,경기 평택시 포승읍 하만호길 229,032-684-1201,평일 06:00~24:00,1400,-,36.9543685,126.8502386,2021.11.21 18:00
A0033530,내트럭 울산신항,울산 남구 신항로 716번길 13,052-947-6500,평일 06:00~22:00,0,-,35.4605036,129.3647834,2021.11.21 18:00
A0031396,부산(북항) 우암,부산 남구 우암로 204,051-644-0142,평일 05:00~23:00,1800,-,35.1249597,129.0746215,2021.11.21 18:00
A0027428,부산(신항) 보배산,경남 창원시 진해구 진해대로 2170,055-551-0098,평일 05:00~23:00,0,-,35.1148214,128.8026283,2021.11.21 18:00
A0028540,부산(신항) 남송,경남 창원시 진해구 진해대로 2455,055-552-5145,평일 06:00~24:00,1250,-,35.1024603,128.8256138,2021.11.21 18:00
A0001248,인천 광역 만석점,인천 동구 인중로 441,032-761-5149 ,평일 04:00~24:00,0,-,37.4874669,126.6223249,2021.11.21 18:00
A0001541,인천 갤러리,인천 동구 인중로 431,032-772-2031,평일 04:00~23:00,0,-,37.4872663,126.6211871,2021.11.21 18:00
A0001327,인천 알뜰 부광,인천 중구 인중로 180,032-765-5145,평일 06:00~22:00,0,-,37.4689161,126.6242628,2021.11.21 18:00
A0001540,인천 동양 오일캠프,인천 중구 축항대로 282,032-888-2066,평일 24시간,0,-,37.4475912,126.6268372,2021.11.21 18:00
A0022096,광양 고향,전남 광양시 백운로 1027,061-792-6060,평일 06:00~24:00,0,-,34.9425997,127.6815858,2021.11.21 18:00
A0022031,광양 시원 태양,전남 광양시 백운로 965,061-791-5188,평일 24시간,0,-,34.9470695,127.6775718,2021.11.21 18:00
A0006491,평택 만호,평택시 포승읍 서동대로 771 ,031-681-1800,평일 05:00~23:00,1500,-,36.9591926,126.856134,2021.11.21 18:00
A0002768,평택 포승행복,평택시 포승읍 포승공단로 68 ,031-681-5022,평일 04:00~22:00,400,-,36.9778962,126.8433576,2021.11.21 18:00
A0029171,내트럭 울산,울산 남구 산업로 100,052-998-8484,평일 24시간 ,80,-,35.5059669,129.3199802,2021.11.21 18:00
A0033222,내트럭 울산약수,울산 북구 산업로 1515,052-946-2200,평일 24시간 ,0,-,35.644287,129.3407404,2021.11.21 18:00
A0022484,내트럭 여수,전남 여수시 여수산단로 140,070-8740-2803,평일 06:00~24:00,0,-,34.7977042,127.6624527,2021.11.21 18:00
A0033447,내트럭 김해,경남 김해시 진영읍 김해대로 243,055-903-2600,평일 06:00~23:00,80,-,35.3066325,128.715861,2021.11.21 18:00
A0032994,첨단용두,광주 북구 빛고을대로 663,062-572-5189 ,매일 05:00~24:00,0,-,35.2211128,126.868841,2021.11.21 18:00
